file,creativeId,angle,angleName,desire,layout,palette,typeset,format,width,height,placements,headline,subhead,eyebrow,cta
"LF1_CLEAN_LABEL_badgeGrid_clinical_0382_191x1.png","0382","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","clinical","humanist","191x1","1200","628","facebook_right_column,audience_network","Read the label. That’s the pitch.","60 vegetarian capsules. Two daily.","Non-GMO · Vegetarian","See the formula"
"LF1_CLEAN_LABEL_badgeGrid_clinical_0382_1x1.png","0382","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","clinical","humanist","1x1","1080","1080","facebook_feed,instagram_feed","Read the label. That’s the pitch.","60 vegetarian capsules. Two daily.","Non-GMO · Vegetarian","See the formula"
"LF1_CLEAN_LABEL_badgeGrid_clinical_0382_4x5.png","0382","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","clinical","humanist","4x5","1080","1350","facebook_feed,instagram_feed","Read the label. That’s the pitch.","60 vegetarian capsules. Two daily.","Non-GMO · Vegetarian","See the formula"
"LF1_CLEAN_LABEL_badgeGrid_clinical_0382_9x16.png","0382","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","clinical","humanist","9x16","1080","1920","instagram_story,facebook_story,instagram_reels","Read the label. That’s the pitch.","60 vegetarian capsules. Two daily.","Non-GMO · Vegetarian","See the formula"
"LF1_CLEAN_LABEL_badgeGrid_clinical_0385_191x1.png","0385","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","clinical","humanist","191x1","1200","628","facebook_right_column,audience_network","A label you can read in one breath.","Non-GMO, gluten-free, lactose-free, allergen-free, antibiotic-free, hormone-free, alcohol-free, vegetarian.","Non-GMO · Vegetarian","Get LF-1"
"LF1_CLEAN_LABEL_badgeGrid_ink_0363_191x1.png","0363","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","ink","impact","191x1","1200","628","facebook_right_column,audience_network","Transparent by default.","Manufactured in the USA. Sold under EU labelling standards.","Non-GMO · Vegetarian","Shop LF-1"
"LF1_CLEAN_LABEL_badgeGrid_mint_0365_191x1.png","0365","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","mint","grotesk","191x1","1200","628","facebook_right_column,audience_network","No mystery blends in the marketing.","Manufactured in the USA. Sold under EU labelling standards.","Eight things it isn’t","See what’s in it"
"LF1_CLEAN_LABEL_badgeGrid_sand_0366_191x1.png","0366","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","luxe","191x1","1200","628","facebook_right_column,audience_network","Plain label. Plain language.","60 vegetarian capsules. Two daily.","Read the label","Get LF-1"
"LF1_CLEAN_LABEL_badgeGrid_sand_0366_1x1.png","0366","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","luxe","1x1","1080","1080","facebook_feed,instagram_feed","Plain label. Plain language.","60 vegetarian capsules. Two daily.","Read the label","Get LF-1"
"LF1_CLEAN_LABEL_badgeGrid_sand_0366_4x5.png","0366","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","luxe","4x5","1080","1350","facebook_feed,instagram_feed","Plain label. Plain language.","60 vegetarian capsules. Two daily.","Read the label","Get LF-1"
"LF1_CLEAN_LABEL_badgeGrid_sand_0366_9x16.png","0366","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","luxe","9x16","1080","1920","instagram_story,facebook_story,instagram_reels","Plain label. Plain language.","60 vegetarian capsules. Two daily.","Read the label","Get LF-1"
"LF1_CLEAN_LABEL_badgeGrid_sand_0373_191x1.png","0373","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","editorial","191x1","1200","628","facebook_right_column,audience_network","Nothing to squint at.","60 vegetarian capsules. Two daily.","Plainly labelled","Shop LF-1"
"LF1_CLEAN_LABEL_badgeGrid_sand_0373_1x1.png","0373","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","editorial","1x1","1080","1080","facebook_feed,instagram_feed","Nothing to squint at.","60 vegetarian capsules. Two daily.","Plainly labelled","Shop LF-1"
"LF1_CLEAN_LABEL_badgeGrid_sand_0373_4x5.png","0373","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","editorial","4x5","1080","1350","facebook_feed,instagram_feed","Nothing to squint at.","60 vegetarian capsules. Two daily.","Plainly labelled","Shop LF-1"
"LF1_CLEAN_LABEL_badgeGrid_sand_0373_9x16.png","0373","CLEAN_LABEL","Clean label","Support the GLP-1 journey","badgeGrid","sand","editorial","9x16","1080","1920","instagram_story,facebook_story,instagram_reels","Nothing to squint at.","60 vegetarian capsules. Two daily.","Plainly labelled","Shop LF-1"
"LF1_CLEAN_LABEL_bigType_clay_0358_191x1.png","0358","CLEAN_LABEL","Clean label","Support the GLP-1 journey","bigType","clay","editorial","191x1","1200","628","facebook_right_column,audience_network","Gluten-free. Lactose-free. Allergen-free.","60 vegetarian capsules. Two daily.","Eight things it isn’t","See what’s in it"
"LF1_CLEAN_LABEL_boxFrame_bone_0383_191x1.png","0383","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","bone","luxe","191x1","1200","628","facebook_right_column,audience_network","Non-GMO. Vegetarian. Allergen-free.","Manufactured in the USA. Sold under EU labelling standards.","Eight things it isn’t","Start with one month"
"LF1_CLEAN_LABEL_boxFrame_bone_0383_1x1.png","0383","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","bone","luxe","1x1","1080","1080","facebook_feed,instagram_feed","Non-GMO. Vegetarian. Allergen-free.","Manufactured in the USA. Sold under EU labelling standards.","Eight things it isn’t","Start with one month"
"LF1_CLEAN_LABEL_boxFrame_bone_0383_4x5.png","0383","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","bone","luxe","4x5","1080","1350","facebook_feed,instagram_feed","Non-GMO. Vegetarian. Allergen-free.","Manufactured in the USA. Sold under EU labelling standards.","Eight things it isn’t","Start with one month"
"LF1_CLEAN_LABEL_boxFrame_bone_0383_9x16.png","0383","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","bone","luxe","9x16","1080","1920","instagram_story,facebook_story,instagram_reels","Non-GMO. Vegetarian. Allergen-free.","Manufactured in the USA. Sold under EU labelling standards.","Eight things it isn’t","Start with one month"
"LF1_CLEAN_LABEL_boxFrame_clay_0360_191x1.png","0360","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","clay","luxe","191x1","1200","628","facebook_right_column,audience_network","Clean label isn’t a claim. It’s a list.","Non-GMO, gluten-free, lactose-free, allergen-free, antibiotic-free, hormone-free, alcohol-free, vegetarian.","Eight things it isn’t","Get LF-1"
"LF1_CLEAN_LABEL_boxFrame_clay_0360_1x1.png","0360","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","clay","luxe","1x1","1080","1080","facebook_feed,instagram_feed","Clean label isn’t a claim. It’s a list.","Non-GMO, gluten-free, lactose-free, allergen-free, antibiotic-free, hormone-free, alcohol-free, vegetarian.","Eight things it isn’t","Get LF-1"
"LF1_CLEAN_LABEL_boxFrame_clay_0360_4x5.png","0360","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","clay","luxe","4x5","1080","1350","facebook_feed,instagram_feed","Clean label isn’t a claim. It’s a list.","Non-GMO, gluten-free, lactose-free, allergen-free, antibiotic-free, hormone-free, alcohol-free, vegetarian.","Eight things it isn’t","Get LF-1"
"LF1_CLEAN_LABEL_boxFrame_clay_0360_9x16.png","0360","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","clay","luxe","9x16","1080","1920","instagram_story,facebook_story,instagram_reels","Clean label isn’t a claim. It’s a list.","Non-GMO, gluten-free, lactose-free, allergen-free, antibiotic-free, hormone-free, alcohol-free, vegetarian.","Eight things it isn’t","Get LF-1"
"LF1_CLEAN_LABEL_boxFrame_clinical_0374_191x1.png","0374","CLEAN_LABEL","Clean label","Support the GLP-1 journey","boxFrame","clinical","impact","191x1","1200","628","facebook_right_column,audience_network","Clean enough to explain in a sentence.","Manufactured in the USA. Sold under EU labelling standards.","Eight things it isn’t","Shop LF-1"
